Name,Subtype,Description
AL,StateList,Alabama
AK,StateList,Alaska
AZ,StateList,Arizona
AR,StateList,Arkansas
CA,StateList,California
CO,StateList,Colorado
CT,StateList,Connecticut
DE,StateList,Delaware
FL,StateList,Florida
GA,StateList,Georgia
HI,StateList,Hawaii
ID,StateList,Idaho
IL,StateList,Illinois
IN,StateList,Indiana
IA,StateList,Iowa
KS,StateList,Kansas
KY,StateList,Kentucky
LA,StateList,Louisiana
ME,StateList,Maine
MD,StateList,Maryland
MA,StateList,Massachusetts
MI,StateList,Michigan
MN,StateList,Minnesota
MS,StateList,Mississippi
MO,StateList,Missouri
MT,StateList,Montana
NE,StateList,Nebraska
NV,StateList,Nevada
NH,StateList,New,StateList,Hampshire
NJ,StateList,New,StateList,Jersey
NM,StateList,New,StateList,Mexico
NY,StateList,New,StateList,York
NC,StateList,North,StateList,Carolina
ND,StateList,North,StateList,Dakota
OH,StateList,Ohio
OK,StateList,Oklahoma
OR,StateList,Oregon
PA,StateList,Pennsylvania
RI,StateList,Rhode,StateList,Island
SC,StateList,South,StateList,Carolina
SD,StateList,South,StateList,Dakota
TN,StateList,Tennessee
TX,StateList,Texas
UT,StateList,Utah
VT,StateList,Vermont
VA,StateList,Virginia
WA,StateList,Washington
WV,StateList,West,StateList,Virginia
WI,StateList,Wisconsin
WY,StateList,Wyoming
